codgeo;libgeo;an;p_pop
02116;Braye-en-Thiérache;2021;138
02117;Bray-Saint-Christophe;2021;67
02118;Braye;2021;130
02119;Brécy;2021;319
02120;Brenelle;2021;195
02121;Breny;2021;228
02122;Brie;2021;55
02123;Brissay-Choigny;2021;298
02124;Brissy-Hamégicourt;2021;653
02125;Brumetz;2021;181
02126;Brunehamel;2021;453
02127;Bruyères-sur-Fère;2021;191
02128;Bruyères-et-Montbérault;2021;1432
02129;Bruys;2021;19
02130;Bucilly;2021;200
02131;Bucy-le-Long;2021;1882
02132;Bucy-lès-Cerny;2021;189
02133;Bucy-lès-Pierrepont;2021;401
02134;Buire;2021;849
02135;Buironfosse;2021;1136
02136;Burelles;2021;124
02137;Bussiares;2021;141
02138;Buzancy;2021;192
02139;Caillouël-Crépigny;2021;453
02140;Camelin;2021;447
02141;La Capelle;2021;1769
02142;Castres;2021;249
02143;Le Catelet;2021;185
02144;Caulaincourt;2021;142
02145;Caumont;2021;546
02146;Celles-lès-Condé;2021;99
02148;Celles-sur-Aisne;2021;255
02149;Cerizy;2021;59
02150;Cerny-en-Laonnois;2021;62
02151;Cerny-lès-Bucy;2021;115
02152;Cerseuil;2021;87
02153;Cessières-Suzy;2021;785
02154;Chacrise;2021;367
02155;Chaillevois;2021;187
02156;Chalandry;2021;250
02157;Chambry;2021;832
02158;Chamouille;2021;270
02159;Champs;2021;304
02160;Chaourse;2021;512
02162;La Chapelle-sur-Chézy;2021;298
02163;Charly-sur-Marne;2021;2581
02164;Le Charmel;2021;326
02165;Charmes;2021;1624
02166;Chartèves;2021;358
02167;Chassemy;2021;886
02168;Château-Thierry;2021;15204
02169;Châtillon-lès-Sons;2021;84
02170;Châtillon-sur-Oise;2021;124
02171;Chaudardes;2021;90
02172;Chaudun;2021;251
02173;Chauny;2021;11496
02174;Chavignon;2021;841
02175;Chavigny;2021;165
02176;Chavonne;2021;207
02177;Chérêt;2021;144
02178;Chermizy-Ailles;2021;115
02179;Chéry-Chartreuve;2021;379
02180;Chéry-lès-Pouilly;2021;736
02181;Chéry-lès-Rozoy;2021;91
02182;Chevennes;2021;121
02183;Chevregny;2021;185
02184;Chevresis-Monceau;2021;340
02185;Chézy-en-Orxois;2021;380
02186;Chézy-sur-Marne;2021;1322
02187;Chierry;2021;1157
02188;Chigny;2021;143
02189;Chivres-en-Laonnois;2021;349
02190;Chivres-Val;2021;527
02191;Chivy-lès-Étouvelles;2021;500
02192;Chouy;2021;375
02193;Cierges;2021;66
02194;Cilly;2021;177
02195;Ciry-Salsogne;2021;896
02196;Clacy-et-Thierret;2021;300
02197;Clairfontaine;2021;525
02198;Clamecy;2021;233
02199;Clastres;2021;593
02200;Clermont-les-Fermes;2021;101
02201;Cœuvres-et-Valsery;2021;458
02203;Coincy;2021;1253
02204;Coingt;2021;63
02205;Colligis-Crandelain;2021;213
02206;Colonfay;2021;73
02207;Commenchon;2021;218
02208;Concevreux;2021;260
02209;Condé-en-Brie;2021;675
02210;Condé-sur-Aisne;2021;358
02211;Condé-sur-Suippe;2021;327
02212;Condren;2021;692
02213;Connigis;2021;330
02214;Contescourt;2021;61
02215;Corbeny;2021;846
02216;Corcy;2021;304
02217;Coucy-le-Château-Auffrique;2021;987
02218;Coucy-lès-Eppes;2021;646
02219;Coucy-la-Ville;2021;195
02220;Coulonges-Cohan;2021;442
02221;Coupru;2021;156
02222;Courbes;2021;37
02223;Courboin;2021;302
02224;Courcelles-sur-Vesle;2021;344
02225;Courchamps;2021;83
02226;Courmelles;2021;1854
02227;Courmont;2021;121
02228;Courtemont-Varennes;2021;349
02229;Courtrizy-et-Fussigny;2021;75
02230;Couvrelles;2021;180
02231;Couvron-et-Aumencourt;2021;936
02232;Coyolles;2021;365
02233;Cramaille;2021;139
02234;Craonne;2021;83
02235;Craonnelle;2021;114
02236;Crécy-au-Mont;2021;326
02237;Crécy-sur-Serre;2021;1503
02238;Crépy;2021;1803
02239;Crézancy;2021;1220
02240;Croix-Fonsomme;2021;192
02241;La Croix-sur-Ourcq;2021;90
02242;Crouttes-sur-Marne;2021;624
02243;Crouy;2021;2999
02244;Crupilly;2021;64
02245;Cuffies;2021;1787
02246;Cugny;2021;603
02248;Cuirieux;2021;155
02249;Cuiry-Housse;2021;101
02250;Cuiry-lès-Chaudardes;2021;76
02251;Cuiry-lès-Iviers;2021;26
02252;Cuissy-et-Geny;2021;71
02253;Cuisy-en-Almont;2021;355
02254;Cutry;2021;127
02255;Cys-la-Commune;2021;157
02256;Dagny-Lambercy;2021;128
02257;Dallon;2021;438
02258;Dammard;2021;372
02259;Dampleux;2021;386
02260;Danizy;2021;639
02261;Dercy;2021;388
02262;Deuillet;2021;207
02263;Dhuizel;2021;113
02264;Dizy-le-Gros;2021;726
02265;Dohis;2021;88
02266;Dolignon;2021;40
02267;Dommiers;2021;301
02268;Domptin;2021;625
02269;Dorengt;2021;152
02270;Douchy;2021;165
02271;Dravegny;2021;130
02272;Droizy;2021;76
02273;Dury;2021;196
02274;Ébouleau;2021;183
02275;Effry;2021;316
02276;Englancourt;2021;117
02277;Épagny;2021;341
02278;Éparcy;2021;32
02279;Épaux-Bézu;2021;544
02280;Épieds;2021;410
02281;L'Épine-aux-Bois;2021;249
02282;Eppes;2021;432
02283;Erlon;2021;284
02284;Erloy;2021;102
02286;Esquéhéries;2021;855
02287;Essigny-le-Grand;2021;1054
02288;Essigny-le-Petit;2021;347
02289;Essises;2021;411
02290;Essômes-sur-Marne;2021;2719
02291;Estrées;2021;409
02292;Étampes-sur-Marne;2021;1335
02293;Étaves-et-Bocquiaux;2021;548
02294;Étouvelles;2021;207
02295;Étréaupont;2021;848
02296;Étreillers;2021;1182
02297;Étrépilly;2021;125
02298;Étreux;2021;1457
02299;Évergnicourt;2021;529
02302;Faverolles;2021;340
02303;Fayet;2021;698
02304;La Fère;2021;2850
